PLAYER_ID,Player,Team,Age,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,ORB,DRB,PlusMinus,WinPct,Season,NetRtg,USG%,PIE,ORtg,DRtg,TS%,AST%,REB%,Height_IN,Height,Weight,DraftYear,DraftRound,DraftNumber,BPM,WS,WS40,Pos
100694,Helen Luz,WAS,31.0,20,8.3,3.0,0.5,1.1,0.3,0.1,0.6,0.358,0.3,0.9,0.1,0.4,-1.6,0.25,2003,-10.2,0.194,0.078,92.1,102.3,0.514,0.236,0.033,68.0,5-8,144.0,,,,-7.61,0.32,0.078,G
100796,Iziane Castro Marques,PHO,22.0,16,11.1,4.3,0.8,0.6,0.4,0.1,0.6,0.352,0.296,0.611,0.4,0.4,-1.0,0.188,2003,-5.4,0.227,0.058,84.3,89.7,0.437,0.113,0.037,72.0,6-0,140.0,,,,-5.6,0.26,0.058,F-G
100660,Janell Burse,SEA,25.0,29,15.1,7.1,3.7,0.7,0.4,1.0,1.4,0.49,0.0,0.771,1.4,2.3,0.7,0.483,2003,4.0,0.248,0.126,96.7,92.7,0.554,0.093,0.135,77.0,6-5,199.0,2001.0,2.0,28.0,-0.16,1.38,0.126,C
100075,Janeth Arcain,HOU,35.0,34,33.5,11.5,4.0,2.0,1.2,0.0,1.5,0.466,0.243,0.84,0.7,3.3,2.8,0.588,2003,4.7,0.187,0.12,97.4,92.7,0.534,0.124,0.068,71.0,5-11,147.0,1997.0,2.0,13.0,-0.91,3.42,0.12,G
100382,Jennifer Azzi,SAN,35.0,34,33.4,7.6,2.7,3.3,0.8,0.3,1.8,0.403,0.402,0.785,0.3,2.4,-4.3,0.353,2003,-6.8,0.124,0.078,90.1,96.9,0.543,0.189,0.04,68.0,5-8,143.0,1999.0,1.0,5.0,-7.3,2.21,0.078,G
100030,Jennifer Gillom,LAS,40.0,33,12.0,3.1,1.7,0.6,0.5,0.1,0.3,0.412,0.269,0.762,0.5,1.1,0.1,0.697,2003,2.5,0.138,0.053,97.4,94.8,0.485,0.1,0.073,75.0,6-3,180.0,1997.0,,,-3.87,0.52,0.053,F-C
100338,Jennifer Rizzotti,DET,30.0,33,16.0,1.8,1.3,2.0,0.4,0.0,1.1,0.278,0.196,0.563,0.1,1.2,0.2,0.515,2003,-0.3,0.109,0.056,94.5,94.8,0.373,0.221,0.045,66.0,5-6,146.0,1999.0,4.0,48.0,-5.36,0.74,0.056,G
100678,Jenny Mowe,LAS,26.0,1,20.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-22.0,0.0,2003,-54.5,0.071,-0.07,76.3,130.8,0.0,0.0,0.0,,,,2001.0,2.0,20.0,-30.14,-0.04,-0.07,UNK
100048,Jessie Hicks,SAN,32.0,27,9.3,3.6,1.8,0.2,0.4,0.3,1.0,0.463,0.0,0.96,0.9,0.9,-0.5,0.519,2003,-2.1,0.226,0.069,92.6,94.7,0.538,0.051,0.108,76.0,6-4,188.0,1997.0,2.0,12.0,-4.07,0.43,0.069,C-F
100852,Jocelyn Penn,WAS,24.0,30,9.6,2.9,1.7,0.5,0.5,0.0,0.7,0.397,0.154,0.667,0.6,1.1,-1.9,0.267,2003,-10.1,0.18,0.078,92.2,102.3,0.465,0.111,0.098,72.0,6-0,,2003.0,1.0,9.0,-7.78,0.56,0.078,F
100836,Jordan Adams,MIN,23.0,10,9.7,3.3,2.3,0.4,0.2,0.3,1.0,0.394,0.417,1.0,1.0,1.3,-1.6,0.7,2003,-8.8,0.202,0.067,95.3,104.1,0.487,0.083,0.117,75.0,6-3,180.0,2003.0,2.0,18.0,-7.15,0.16,0.067,F
100834,K.B. Sharp,NYL,23.0,30,13.3,3.1,1.1,1.2,0.5,0.0,0.9,0.394,0.292,0.795,0.4,0.7,-0.8,0.467,2003,-2.5,0.144,0.076,96.3,98.7,0.533,0.177,0.047,69.0,5-9,149.0,2003.0,2.0,26.0,-5.32,0.76,0.076,G
100544,Kamila Vodichkova,SEA,31.0,28,25.4,10.1,5.1,1.1,0.7,0.8,1.9,0.474,0.0,0.812,2.0,3.1,5.5,0.571,2003,12.3,0.213,0.095,104.5,92.1,0.552,0.079,0.111,76.0,6-4,185.0,2000.0,1.0,9.0,2.02,1.69,0.095,F-C
100874,Kara Lawson,SAC,23.0,34,22.7,7.7,3.1,1.6,0.4,0.1,1.2,0.392,0.4,0.775,0.9,2.3,3.8,0.559,2003,8.9,0.174,0.121,97.4,88.5,0.538,0.141,0.072,68.0,5-8,160.0,2003.0,1.0,5.0,0.59,2.33,0.121,G
100666,Katie Douglas,CON,25.0,28,30.3,12.0,3.8,2.0,1.1,0.4,1.0,0.438,0.382,0.721,1.2,2.6,-0.1,0.536,2003,-0.1,0.186,0.134,98.0,98.1,0.553,0.139,0.065,72.0,6-0,165.0,2001.0,1.0,10.0,-2.57,2.84,0.134,G-F
100404,Katie Smith,MIN,30.0,34,34.8,18.2,4.1,2.5,0.7,0.2,2.0,0.457,0.39,0.881,1.2,2.9,0.7,0.529,2003,2.1,0.237,0.143,99.8,97.7,0.599,0.151,0.064,71.0,5-11,175.0,,,,-0.75,4.23,0.143,G
100759,Kayte Christensen,PHO,23.0,30,22.0,6.9,4.2,0.5,0.8,0.5,1.3,0.484,0.0,0.602,2.0,2.2,-1.9,0.233,2003,-4.3,0.175,0.074,85.9,90.2,0.521,0.053,0.108,75.0,6-3,171.0,2002.0,3.0,40.0,-5.62,1.22,0.074,F
100421,Kedra Holland-Corn,HOU,29.0,34,20.5,9.2,1.7,1.9,1.1,0.1,1.7,0.461,0.403,0.762,0.4,1.3,1.9,0.735,2003,4.2,0.204,0.153,98.0,93.8,0.601,0.184,0.043,68.0,5-8,136.0,1999.0,2.0,14.0,-0.2,2.67,0.153,G
100504,Kelley Gibson,HOU,27.0,26,8.0,1.5,0.6,0.3,0.0,0.2,0.3,0.333,0.417,0.0,0.2,0.5,-0.1,0.615,2003,-0.1,0.122,0.03,85.2,85.3,0.452,0.08,0.042,69.0,5-9,137.0,,,,-5.61,0.16,0.03,F-G
100627,Kelly Miller,IND,25.0,34,15.4,5.6,1.6,1.4,0.5,0.1,1.0,0.407,0.423,0.775,0.6,1.0,0.7,0.529,2003,1.4,0.208,0.116,96.6,95.2,0.512,0.202,0.059,70.0,5-10,140.0,2001.0,1.0,2.0,-2.0,1.52,0.116,G
100648,Kelly Schumacher,IND,26.0,34,14.1,5.6,2.9,0.6,0.2,0.7,0.9,0.479,0.444,0.852,1.2,1.7,-0.9,0.471,2003,-2.2,0.223,0.103,97.4,99.6,0.522,0.093,0.119,76.0,6-4,189.0,2001.0,1.0,14.0,-3.47,1.23,0.103,C
100651,Kiesha Brown,WAS,25.0,27,9.9,2.2,1.2,1.0,0.5,0.0,0.8,0.333,0.303,0.667,0.2,1.0,-0.9,0.259,2003,-5.4,0.163,0.054,95.0,100.4,0.409,0.19,0.067,70.0,5-10,134.0,,,,-6.64,0.36,0.054,G
100552,Kristen Rasmussen,IND,25.0,33,24.7,6.8,3.5,1.9,0.7,0.5,1.5,0.47,0.467,0.795,1.3,2.2,1.8,0.485,2003,5.6,0.164,0.098,100.7,95.1,0.52,0.156,0.085,76.0,6-4,172.0,2000.0,4.0,51.0,-1.34,2.0,0.098,F
100222,Kristi Harrower,MIN,29.0,31,16.1,2.8,1.3,2.3,0.6,0.1,1.3,0.368,0.372,0.615,0.3,1.0,0.7,0.516,2003,3.0,0.129,0.089,99.8,96.7,0.475,0.254,0.044,64.0,5-4,139.0,,,,-3.08,1.11,0.089,G
100242,LaTonya Johnson,SAN,28.0,31,8.9,1.9,0.8,0.3,0.1,0.0,0.5,0.254,0.261,0.727,0.2,0.6,-3.7,0.323,2003,-19.8,0.153,-0.025,80.4,100.2,0.359,0.076,0.043,73.0,6-1,150.0,1998.0,3.0,21.0,-14.12,-0.17,-0.025,F
100883,LaToya Thomas,SAN,22.0,32,26.6,10.8,5.1,1.2,0.9,0.4,1.3,0.463,0.0,0.789,2.0,3.2,-0.3,0.469,2003,-0.4,0.218,0.133,96.7,97.1,0.514,0.096,0.11,74.0,6-2,170.0,2003.0,1.0,1.0,-2.23,2.83,0.133,F
100044,Lady Grooms,SAC,33.0,34,13.8,3.3,1.4,0.9,0.5,0.1,0.6,0.402,0.0,0.808,0.4,0.9,0.4,0.559,2003,1.7,0.151,0.072,91.2,89.4,0.45,0.113,0.053,70.0,5-10,160.0,1997.0,,,-3.62,0.84,0.072,F
100027,Latasha Byears,LAS,30.0,5,14.7,5.6,4.2,0.4,0.0,0.4,0.4,0.4,0.0,0.727,2.4,1.8,5.0,1.0,2003,19.8,0.182,0.079,114.7,94.9,0.469,0.044,0.124,71.0,5-11,206.0,,,,4.23,0.15,0.079,G-F
100682,Lauren Jackson,SEA,23.0,33,33.6,21.2,9.3,1.9,1.2,1.9,2.1,0.483,0.317,0.825,2.5,6.8,3.6,0.545,2003,5.7,0.293,0.224,102.1,96.4,0.575,0.129,0.15,77.0,6-5,187.0,2001.0,1.0,1.0,3.16,6.21,0.224,F-C
100746,Linda Frohlich,PHO,25.0,26,8.3,3.2,1.4,0.6,0.2,0.3,0.5,0.431,0.538,0.636,0.4,1.0,0.8,0.538,2003,5.7,0.228,0.084,101.3,95.6,0.508,0.138,0.099,74.0,6-2,185.0,2002.0,2.0,26.0,-0.62,0.45,0.084,F-C
100378,Lisa Harrison,PHO,33.0,33,25.4,5.5,3.6,1.1,0.9,0.2,1.0,0.413,0.0,0.686,1.3,2.3,-2.5,0.242,2003,-5.1,0.136,0.077,86.6,91.7,0.454,0.085,0.08,72.0,6-0,164.0,1999.0,3.0,34.0,-6.46,1.61,0.077,F
100003,Lisa Leslie,LAS,31.0,23,34.4,18.4,10.0,2.0,1.3,2.7,2.8,0.442,0.324,0.617,3.3,6.7,7.7,0.87,2003,11.5,0.29,0.152,102.5,91.0,0.491,0.122,0.147,77.0,6-5,170.0,1997.0,,,3.99,3.01,0.152,C
100739,Lucienne Berthieu,HOU,26.0,22,9.1,3.8,1.9,0.3,0.5,0.2,1.0,0.519,0.0,0.652,0.9,1.0,1.0,0.5,2003,6.1,0.224,0.1,90.9,84.8,0.581,0.069,0.109,72.0,6-0,188.0,2002.0,2.0,19.0,-0.2,0.5,0.1,F-C
100239,Margo Dydek,SAN,30.0,34,27.2,11.9,7.4,1.7,0.6,2.9,2.4,0.451,0.0,0.723,1.3,6.1,-2.9,0.353,2003,-5.7,0.241,0.164,90.1,95.8,0.503,0.14,0.133,86.0,7-2,223.0,1998.0,1.0,1.0,-3.38,3.79,0.164,C
100685,Marie Ferdinand-Harris,SAN,25.0,34,32.8,13.8,3.7,2.6,1.7,0.2,2.5,0.362,0.308,0.789,0.8,2.9,-3.1,0.353,2003,-5.4,0.239,0.112,90.7,96.1,0.487,0.171,0.056,69.0,5-9,145.0,2001.0,1.0,8.0,-4.34,3.12,0.112,G
100092,Merlakia Jones,DET,31.0,34,19.8,4.8,2.9,1.3,0.6,0.1,1.1,0.337,0.308,0.718,0.5,2.3,-2.6,0.5,2003,-8.4,0.185,0.063,85.8,94.2,0.385,0.149,0.079,70.0,5-10,147.0,1997.0,2.0,13.0,-7.32,1.06,0.063,G
100257,Mfon Udoka,HOU,28.0,25,10.0,3.2,2.0,0.2,0.2,0.1,0.8,0.5,0.0,0.696,0.9,1.2,-1.9,0.6,2003,-8.9,0.186,0.065,84.2,93.1,0.54,0.04,0.113,72.0,6-0,187.0,,,,-7.47,0.41,0.065,F
100346,Michele Van Gorp,MIN,27.0,31,17.0,5.6,3.5,0.5,0.3,0.6,1.8,0.432,0.0,0.673,1.0,2.4,-0.2,0.516,2003,1.3,0.225,0.047,94.1,92.8,0.473,0.069,0.116,78.0,6-6,187.0,1999.0,2.0,18.0,-3.16,0.62,0.047,C
100729,Michelle Snow,HOU,24.0,34,30.3,9.2,7.7,1.2,1.0,1.8,2.0,0.498,0.0,0.729,2.2,5.5,3.9,0.588,2003,6.9,0.176,0.124,98.5,91.6,0.541,0.08,0.146,77.0,6-5,158.0,2002.0,1.0,10.0,-0.12,3.19,0.124,C
100199,Murriel Page,WAS,28.0,34,25.0,6.3,4.5,1.0,0.5,0.7,1.2,0.377,0.417,0.75,1.8,2.6,-2.9,0.265,2003,-6.2,0.159,0.049,94.5,100.7,0.435,0.074,0.093,74.0,6-2,160.0,1998.0,1.0,3.0,-7.12,1.04,0.049,F
100012,Mwadi Mabika,LAS,27.0,32,32.6,13.8,4.4,2.6,0.9,0.6,2.3,0.407,0.264,0.866,1.1,3.3,3.3,0.719,2003,5.6,0.231,0.096,101.3,95.7,0.504,0.15,0.071,71.0,5-11,165.0,,,,-0.38,2.5,0.096,G
100366,Natalie Williams,IND,33.0,34,31.0,13.4,7.5,1.4,1.3,0.6,2.1,0.485,0.0,0.709,3.2,4.3,-0.1,0.471,2003,0.4,0.233,0.129,99.3,98.9,0.534,0.1,0.142,74.0,6-2,210.0,1999.0,1.0,3.0,-1.76,3.4,0.129,C
100478,Nicky McCrimmon,LAS,32.0,33,9.1,2.1,0.9,1.0,0.6,0.0,0.5,0.444,0.417,0.875,0.2,0.7,0.3,0.697,2003,2.8,0.129,0.099,94.9,92.1,0.511,0.198,0.051,,,,2000.0,4.0,63.0,-2.96,0.74,0.099,G
100650,Niele Ivey,IND,26.0,27,24.1,5.0,1.2,2.6,1.1,0.3,1.0,0.388,0.393,0.706,0.2,1.0,2.1,0.481,2003,5.2,0.115,0.076,101.7,96.5,0.547,0.191,0.029,67.0,5-7,149.0,2001.0,2.0,19.0,-2.68,1.24,0.076,G
100198,Nikki McCray,IND,32.0,34,21.6,3.9,1.5,1.4,1.1,0.1,1.3,0.377,0.219,0.833,0.5,1.0,-0.6,0.471,2003,0.9,0.133,0.035,97.5,96.6,0.441,0.123,0.041,71.0,5-11,158.0,,,,-4.94,0.64,0.035,G
100724,Nikki Teasley,LAS,25.0,34,34.9,11.5,5.1,6.3,1.1,0.4,3.2,0.389,0.424,0.875,0.9,4.3,2.9,0.706,2003,4.3,0.177,0.144,100.0,95.7,0.581,0.32,0.075,72.0,6-0,169.0,2002.0,1.0,5.0,-0.75,4.27,0.144,G
